region,category_title,videos_count
France,Autos & Vehicles,1220
France,Comedy,8446
France,Education,1480
France,Entertainment,19020
France,Film & Animation,3768
France,Gaming,2786
France,Howto & Style,4668
France,Movies,22
France,Music,7658
France,News & Politics,6526
France,People & Blogs,9346
France,Pets & Animals,468
France,Science & Technology,1588
France,Shows,198
France,Sports,8002
France,Trailers,4
France,Travel & Events,204
India,Autos & Vehicles,138
India,Comedy,6814
India,Education,2360
India,Entertainment,32924
India,Film & Animation,3298
India,Gaming,132
India,Howto & Style,1674
India,Movies,32
India,Music,7714
India,News & Politics,10346
India,People & Blogs,4988
India,Pets & Animals,6
India,Science & Technology,1096
India,Shows,410
India,Sports,1424
India,Travel & Events,16
Japan,Autos & Vehicles,538
Japan,Comedy,1372
Japan,Education,212
Japan,Entertainment,11734
Japan,Film & Animation,2140
Japan,Gaming,1834
Japan,Howto & Style,1574
Japan,Music,2480
Japan,News & Politics,2654
Japan,People & Blogs,5792
Japan,Pets & Animals,2250
Japan,Science & Technology,300
Japan,Sports,3606
Japan,Travel & Events,276
Russia,Autos & Vehicles,3116
Russia,Comedy,5968
Russia,Education,1326
Russia,Entertainment,11692
Russia,Film & Animation,5676
Russia,Gaming,2050
Russia,Howto & Style,3928
Russia,Movies,2
Russia,Music,3664
Russia,News & Politics,9858
Russia,People & Blogs,18452
Russia,Pets & Animals,1154
Russia,Science & Technology,2226
Russia,Shows,388
Russia,Sports,3684
Russia,Travel & Events,510
United States,Autos & Vehicles,758
United States,Comedy,6870
United States,Education,3284
United States,Entertainment,19638
United States,Film & Animation,4680
United States,Gaming,1606
United States,Howto & Style,8280
United States,Music,12874
United States,News & Politics,4818
United States,Nonprofits & Activism,106
United States,People & Blogs,6122
United States,Pets & Animals,1832
United States,Science & Technology,4722
United States,Shows,114
United States,Sports,4250
United States,Travel & Events,804
