,user_id,tariff_plan,date_start
0,166713,A,2019-08-15
1,166901,A,2019-08-23
2,168527,A,2019-10-29
3,167097,A,2019-09-01
4,168193,A,2019-10-16
5,167764,A,2019-09-30
6,167050,A,2019-08-29
7,168252,A,2019-10-17
8,168495,A,2019-10-28
9,167879,A,2019-10-03
10,168573,A,2019-10-31
11,166610,A,2019-08-12
12,167536,A,2019-09-19
13,168354,A,2019-10-23
14,168284,A,2019-10-20
15,168422,A,2019-10-24
16,168253,A,2019-10-18
17,168062,A,2019-10-11
18,168048,A,2019-10-10
19,168205,A,2019-10-16
20,167838,A,2019-10-02
21,168361,A,2019-10-23
22,168295,A,2019-10-21
23,167881,A,2019-10-03
24,168121,A,2019-10-14
25,168049,A,2019-10-10
26,167949,A,2019-10-07
27,168187,A,2019-10-16
28,167828,A,2019-10-02
29,167810,A,2019-10-01
30,168112,A,2019-10-14
31,167953,A,2019-10-07
32,167799,A,2019-10-01
33,166897,A,2019-08-23
34,167628,A,2019-09-24
35,166916,A,2019-08-23
36,167497,A,2019-09-18
37,167634,A,2019-09-24
38,166879,A,2019-08-22
39,166465,A,2019-08-05
40,166523,A,2019-08-07
41,166806,A,2019-08-20
42,167185,A,2019-09-05
43,168459,A,2019-10-26
44,167267,A,2019-09-10
45,166541,A,2019-08-07
46,167090,A,2019-08-30
47,166934,A,2019-08-26
48,166896,A,2019-08-23
49,166725,A,2019-08-16
50,166582,A,2019-08-09
51,166843,A,2019-08-21
52,166407,A,2019-08-02
53,166439,A,2019-08-02
54,168128,A,2019-10-15
55,168176,A,2019-10-16
56,168341,A,2019-10-22
57,167265,A,2019-09-10
58,167211,A,2019-09-06
59,168255,A,2019-10-18
60,167158,A,2019-09-04
61,166609,A,2019-08-12
62,167000,A,2019-08-28
63,167285,A,2019-09-10
64,168576,A,2019-10-31
65,168281,A,2019-10-19
66,168020,A,2019-10-09
67,166681,A,2019-08-14
68,166427,A,2019-08-02
69,166531,A,2019-08-07
70,166481,A,2019-08-05
71,167626,A,2019-09-24
72,167662,A,2019-09-24
73,167118,A,2019-09-02
74,166570,A,2019-08-09
75,167631,A,2019-09-24
76,166720,C,2019-08-16
77,167948,C,2019-10-07
78,167584,C,2019-09-21
79,167701,C,2019-09-26
80,167397,C,2019-09-16
81,168202,C,2019-10-16
82,167212,C,2019-09-06
83,167698,C,2019-09-25
84,167368,C,2019-09-13
85,167364,C,2019-09-13
86,167180,C,2019-09-05
87,166619,C,2019-08-12
88,168185,C,2019-10-16
89,167739,C,2019-09-27
90,167325,C,2019-09-11
91,168350,C,2019-10-22
92,168054,C,2019-10-10
93,167534,C,2019-09-19
94,166939,C,2019-08-26
95,167309,C,2019-09-11
96,168529,C,2019-10-29
97,167390,C,2019-09-14
98,166997,C,2019-08-28
99,168088,C,2019-10-14
100,168412,C,2019-10-24
101,166546,C,2019-08-08
102,166669,C,2019-08-14
103,167412,C,2019-09-16
104,167918,C,2019-10-04
105,167829,C,2019-10-02
106,168186,C,2019-10-16
107,166374,C,2019-08-01
108,167831,C,2019-10-02
109,166878,C,2019-08-22
110,167646,C,2019-09-24
111,168090,C,2019-10-14
112,168115,C,2019-10-14
113,167718,C,2019-09-26
114,167669,C,2019-09-25
115,166650,C,2019-08-13
116,166487,C,2019-08-06
117,167441,C,2019-09-17
118,168471,C,2019-10-28
119,168469,C,2019-10-28
120,168598,C,2019-10-31
121,168606,C,2019-10-31
122,168133,C,2019-10-15
123,167875,C,2019-10-03
124,167715,C,2019-09-26
125,168335,C,2019-10-22
126,168473,C,2019-10-28
127,167727,C,2019-09-26
128,168582,C,2019-10-31
129,168374,C,2019-10-23
130,168536,C,2019-10-29
131,168575,C,2019-10-31
132,167599,C,2019-09-23
133,168411,C,2019-10-24
134,168601,C,2019-10-31
135,166762,C,2019-08-19
136,168008,C,2019-10-09
137,168368,C,2019-10-23
138,168515,C,2019-10-29
139,167471,C,2019-09-18
140,168522,C,2019-10-29
141,167958,C,2019-10-07
142,168353,C,2019-10-23
143,167742,C,2019-09-27
144,168264,C,2019-10-18
145,168175,C,2019-10-16
146,168464,C,2019-10-28
147,167139,C,2019-09-03
148,168303,C,2019-10-21
149,167747,C,2019-09-27
150,167238,C,2019-09-09
151,168190,C,2019-10-16
152,168486,C,2019-10-28
153,166905,C,2019-08-23
154,166782,C,2019-08-19
155,166508,C,2019-08-06
156,166930,C,2019-08-23
157,167040,C,2019-08-29
158,167735,C,2019-09-27
159,166400,C,2019-08-01
160,168348,C,2019-10-22
161,168206,C,2019-10-16
162,168416,C,2019-10-24
163,167934,C,2019-10-07
164,167923,C,2019-10-07
165,168415,C,2019-10-24
166,168165,C,2019-10-15
167,167187,C,2019-09-05
168,168336,C,2019-10-22
169,166418,C,2019-08-02
170,168132,C,2019-10-15
171,168326,C,2019-10-22
172,168293,C,2019-10-21
173,168381,C,2019-10-23
174,168040,C,2019-10-10
175,168221,C,2019-10-17
176,168092,C,2019-10-14
177,168261,C,2019-10-18
